Product_ID,Name,Description,Price,Stock,Image,Category
1,Nike Prestige FCB Football,60% RUBBER 15% POLYURETHANE Smooth and durable casing,1196,10,1.jpg,Sports
2,Xtreme Grade 5 English Willow Cricket Bat,Suitable For  Leather Ball | Weight  1160-1200gm,4209,20,2.jpg,Sports
3,Yonex Mavis 350 Nylon Shuttlecock,Pack of 6 shuttles  Material  Nylon,899,5,3.jpg,Sports
4,High Speed Professional MMA Skipping/Jump Rope,Made from the best materials with 360-degree rotation double ball bearings for improved force,1500,10,4.jpg,Sports
5,Wrist Support for Gym and Sports Activities,Sweatband Wrist Band  Pair of 3,450,50,5.jpg,Sports
6,Symactive Cast Iron Kettlebell 10 kg,"Kettlebell made with solid cast iron without any welds
Highly-durable with a powder-coated surface and flat bottom",1441,10,6.jpg,Sports
7,GolfBasic Prime Matt Coloured Tournament Balls,Pack of 12 Golf Balls Matte Finish High Visibility Balls Available in a variety of color combinations,1390,16,7.jpg,Sports
8,Leather Cricket Ball -Set of 6 Red by S.R Enterprises.,Ideal For Test match one day Match and Practice Match Diameter  7.62 cm of each ball,699,20,8.jpg,Sports
9,Brinda Fabrics Cosco-Light Cricket Tennis Balls (Set of 2),Light weight 75 grams High bounce enjoy your game Durable | value for money Material rubber covered with feltIn box contents pack of 6 balls,399,34,9.jpg,Sports
10,Pangid Swimming Goggles UV Protection Anti-Fog for Men Women Kids ,UV Protection - Lenses are supplied with ultraviolet light absorber Leak Free Design - The gaskets of swimming goggles are made up of silicone with no water leakage,499,67,10.jpg,Sports
11,Yonex Etech 902 Pack of 5 Badminton Grips,,379,45,11.jpg,Sports
12,Nike Men Mercurial Veloce III DF CR7 FG Football Boots,Closure: Lace-Up Shoe Width: Medium Material Type: Synthetic Lifestyle: Sports Closure Type: Lace-Up,10361,6,12.jpg,Sports
13,Disposable 3 Ply Surgical Face Mask,made with skin-friendly non-woven fabric that is gentle on human skin,220,85,13.jpg,Medical
14,Pulse Oximeter Fingertip  Blood Oxygen Saturation Monitor,portable  convenient  non-invasive device  used for monitor arterial hemoglobin oxygen,1399,26,14.jpg,Medical
15,Contact Less Infra Red Thermometer,3 Colour Display changing Based on Temperature Variation High-Normal-Medium,835,3,15.jpg,Medical
16,Dr Trust Electronic Platinum Rechargeable Digital Personal Weighing Scale,Reliable readings  gives you accurate measurements in pounds or kgs,1199,18,16.jpg,Medical
17,Medigrip Elastic Adhesive Bandage,,373,22,17.jpg,Medical
18,AGARO COSMIC PLUS Sonic Electric tooth brush for adults with 5 modes,"Superior Sonic Technology: Generates 40,000 Strokes per minute, demolishing deep tooth dirt Nylon DuPont Heads: 5 DuPont brush heads designed to fit topography of teeth5 Cleaning Modes: whitening, cleaning",1699,40,18.jpg,Medical
19,Dr.Morepen GlucoOne Blood Glucose Monitor Model BG 03,Only 0.5µL blood required Accurate and ergonomic model Beeper alert,599,34,19.jpg,Medical
20,Dr Trust (USA) Waterproof Flexible Tip Digital Thermometer,Flexible Tip Digital Thermometer Colour: White Water proof,699,23,20.jpg,Medical
21,"Dettol Antiseptic Disinfectant liquid for First aid, Surface Cleaning and Personal Hygiene","ANTISEPTIC LIQUID: Protects from 100 illness causing germs MULTIPURPOSE CLEANER: Great for everyday personal and home hygiene USAGE: Ideal to be used for First Aid, cleaning cuts and wounds.",249,30,21.jpg,Medical
22,"PRAMUKH MEDICAL Cotton Reusable Cloth Mask (Without Valve, Pack of 11) ",Care Instructions: Easy Care Care Instructions: Washable2 Layer Face Mask / Pure Cotton / Colorull Prints / Full Coverage Nose MouthPerfect Fit / Elastic to wear Comfortable on Ears,300,12,22.jpg,Medical
23,Careway Latex Medical Examination Disposable Powderd Hand Gloves - 100 Pcs,"Gloves can use to protect from germs. Gloves are mostly used in Surgical Lab, Hospital, Kitchen and many more. Available in various sizes Unisex Surgical Gloves",249,34,23.jpg,Medical
24,AmazonBasics Stapler with 1000 Staples - Black,Stapler holds up to 200 staples  offers a 10-sheet stapling capacity  full rubber base keeps stapler securely in place ,279,17,24.jpg,Stationery
25,AmazonBasics 8-Sheet Cross Cut Paper and Credit Card Shredder,Cross-cut paper shredder with 8-sheet capacity; shreds credit cards,3499,24,25.jpg,Stationery
26,Cello Hi-lighter (Pack of 5  Vivid Colors - Yellow  Pink Orange and Purple),Chisel tip for underlining and highlighting  Water based fluorescent ink for high visibility,100,51,26.jpg,Stationery
27,Cello Butterflow Ball Pens (25 Pens Jar - Blue) ,Lubriflow ink system that ensures ultra smooth writing.,206,100,27.jpg,Stationery
28,DAHSHA Mesh Zippered Pencil Pen Stationary Case Document Holder Bag,Waterproof Double Layer Zippered Mesh  this bag is great for art supplies and made of high quality material 3x thicker then similar products on the market allowing it to support heavy items such as tools  cell phones  sketch pads  money  coins  receipt books  paints  and other supplies,245,140,28.jpg,Stationery
29,DALUCI Memo Note Pad with Sticky Notes & Clip Holder in Diary Style,This is a useful gift perfect for office  home which makes it a must have  it is a diary style desk organizer  it has 3 sizes of sticky note pad & 1 1 pad of loose sheets with clip holder,199,14,29.jpg,Stationery
30,Luxor 5 Subject Single Ruled Notebook A5 Size  70 GSM  300 Pages,Twin wiro binding  Paper color White  Paper density 70 gsm  No of pages 300,137,19,30.jpg,Stationery
31,Kangaro Set SS T 10 MD Stationery Gift Set,Attractive gift packing  easy storage  office and home use,199,21,31.jpg,Stationery
32,OnePlus Nord 5G,48MP+8MP+5MP+2MP quad rear camera with 1080P Video,29999,9,32.jpg,Technology
33,OnePlus Bullets Wireless Z Bass Edition,The Bass Edition comes equipped with Bluetooth v5.0 and is fully compatible with all smartphones. IP55 Water & Sweat Resistance,1999,21,33.jpg,Technology
34,OnePlus 9 Pro 5G,Rear Quad Camera Co-Developed by Hasselblad  48 MP Main camera  50 MP Ultra Wide Angle Camera with Sensor size of 1/1.56,64999,30,34.jpg,Technology
35,Samsung Galaxy Watch Active 2,Super AMOLED display with customizable Always on Watch faces,22500,14,35.jpg,Technology
